close,high,low,open,timestamp,volume
29927,29927,29919,29921,1697932800,0.51306368
29929,29929,29929,29929,1697932860,0.00135000
29909,29920,29909,29920,1697932920,0.01231000
29908,29909,29908,29909,1697932980,0.00446000
29906,29906,29903,29904,1697933040,0.00640000
29906,29906,29906,29906,1697933100,0.00000000
29902,29908,29899,29908,1697933160,0.79441310
29908,29908,29908,29908,1697933220,0.00403000
29892,29912,29892,29907,1697933280,4.96433046
29922,29922,29883,29904,1697933340,8.42413332
29930,29930,29922,29922,1697933400,0.02118703
29934,29934,29929,29929,1697933460,0.07285860
29945,29945,29934,29934,1697933520,0.19234452
29942,29942,29942,29942,1697933580,0.00254000
29952,29958,29945,29945,1697933640,0.08168379
29964,29964,29955,29955,1697933700,0.03005360
29968,29968,29958,29964,1697933760,0.04754672
29963,29968,29963,29968,1697933820,0.01638113
29965,29967,29958,29963,1697933880,0.06923990
29967,29968,29967,29968,1697933940,0.00934571
29968,29969,29965,29969,1697934000,0.00908373
29967,29969,29967,29968,1697934060,0.01225936
29963,29971,29960,29967,1697934120,1.22926378
29965,29967,29963,29967,1697934180,0.01548000
29968,29969,29963,29964,1697934240,0.03546745
29966,29971,29966,29967,1697934300,0.16731562
29969,29971,29967,29970,1697934360,0.04493627
29969,29969,29965,29967,1697934420,0.04716632
29965,29969,29965,29966,1697934480,0.02105027
29969,29973,29969,29973,1697934540,0.00964740
29989,29994,29973,29973,1697934600,0.05917144
29999,29999,29986,29986,1697934660,0.01693412
29973,29989,29973,29989,1697934720,0.03142117
29965,29965,29965,29965,1697934780,0.01851000
29959,29963,29959,29963,1697934840,0.00259000
29960,29960,29956,29956,1697934900,0.04428000
29960,29960,29960,29960,1697934960,0.00064333
29957,29958,29957,29958,1697935020,0.02505428
29971,29971,29966,29966,1697935080,0.00558320
29971,29971,29971,29971,1697935140,0.00000000
29952,29956,29948,29956,1697935200,0.02170849
29956,29956,29952,29952,1697935260,0.03134216
29957,29957,29957,29957,1697935320,0.00716000
29973,29973,29961,29961,1697935380,0.00869000
29975,29975,29975,29975,1697935440,0.00169961
29973,29979,29973,29973,1697935500,0.08095278
29965,29974,29965,29974,1697935560,0.19788401
29969,29969,29962,29964,1697935620,0.04356272
29969,29969,29969,29969,1697935680,0.00000000
29983,29983,29978,29978,1697935740,0.50307465
29992,29993,29985,29985,1697935800,0.01399951
30004,30011,29995,29995,1697935860,21.71940889
29998,29998,29997,29997,1697935920,0.04938867
29995,30003,29986,29999,1697935980,0.75540442
29979,29995,29979,29995,1697936040,0.03400279
29987,29987,29982,29982,1697936100,0.01216000
29966,29981,29966,29981,1697936160,0.02701674
